epoch,accuracy,binary_io_u_2,loss,lr,val_accuracy,val_binary_io_u_2,val_loss
0,0.9164250493049622,0.599502444267273,1.3721531629562378,0.001,0.9330204129219055,0.6308489441871643,1.4016985893249512
1,0.9277116060256958,0.6517500281333923,1.3616892099380493,0.001,0.93636155128479,0.6513975858688354,1.3987398147583008
2,0.93202805519104,0.6725671887397766,1.3576595783233643,0.001,0.934497058391571,0.63239586353302,1.4022072553634644
3,0.9349135756492615,0.6865149140357971,1.3553435802459717,0.001,0.9394949078559875,0.6667652726173401,1.3962366580963135
4,0.9371707439422607,0.6975560188293457,1.3532178401947021,0.001,0.9384040236473083,0.6623249650001526,1.396101951599121
5,0.9391067028045654,0.7071072459220886,1.3515539169311523,0.001,0.9395599365234375,0.6691957116127014,1.3952226638793945
6,0.9407889246940613,0.7154532074928284,1.3501830101013184,0.001,0.9404094815254211,0.6732739210128784,1.3943394422531128
7,0.9424800872802734,0.7239496111869812,1.3486608266830444,0.001,0.9391103386878967,0.6690462231636047,1.395495057106018
8,0.9439297318458557,0.7311699390411377,1.347621202468872,0.001,0.9392136931419373,0.6695097088813782,1.3951013088226318
9,0.9454871416091919,0.7390117645263672,1.3462015390396118,0.001,0.9394726753234863,0.6710561513900757,1.3948144912719727
10,0.9497171640396118,0.7605406045913696,1.3425734043121338,0.000100000005,0.9416488409042358,0.6796531081199646,1.393776774406433
11,0.9507991075515747,0.7660921216011047,1.3416566848754883,0.000100000005,0.941487193107605,0.6796594262123108,1.3934425115585327
12,0.9513967037200928,0.7691654562950134,1.3410835266113281,0.000100000005,0.9413040280342102,0.6792093515396118,1.3936458826065063
13,0.9519181251525879,0.7718955874443054,1.3406932353973389,0.000100000005,0.9413092732429504,0.6786069869995117,1.3940021991729736
14,0.9523425102233887,0.7741033434867859,1.3402987718582153,0.000100000005,0.9412441253662109,0.677975058555603,1.3942570686340332
15,0.9529807567596436,0.7774179577827454,1.3397489786148071,1.0000001e-05,0.9411673545837402,0.6777580976486206,1.3937032222747803
16,0.9530876278877258,0.777988076210022,1.3395378589630127,1.0000001e-05,0.9412000179290771,0.6776940822601318,1.393905520439148
17,0.9531317353248596,0.7782264351844788,1.339685082435608,1.0000001e-05,0.9411388635635376,0.6776925921440125,1.3938184976577759
18,0.9532046914100647,0.7786158919334412,1.339608073234558,1.0000001e-06,0.9411306381225586,0.6775147914886475,1.3938677310943604
19,0.9532227516174316,0.7786880135536194,1.3393031358718872,1.0000001e-06,0.9411929845809937,0.6778110861778259,1.3937633037567139
